Lemma	Wordlist	Rank	SFI	U	D	F	Rank	Coverage	Cumulative					
could	1 - NGSL	66	72.273	"1,687.53"	0.9695	"480,705"	66	0.0018	0.53					
work	1 - NGSL	67	72.237	"1,673.68"	0.9829	"471,090"	68	0.0017	0.54					
use	1 - NGSL	68	72.192	"1,656.59"	0.9664	"473,220"	67	0.0017	0.53					
than	1 - NGSL	69	72.017	"1,591.10"	0.9891	"445,359"	72	0.0016	0.54					
now	1 - NGSL	70	71.940	"1,563.01"	0.9498	"453,446"	70	0.0017	0.54					
then	1 - NGSL	71	71.914	"1,553.71"	0.9413	"454,196"	69	0.0017	0.54					
also	1 - NGSL	72	71.910	"1,552.32"	0.9583	"446,703"	71	0.0016	0.54					
into	1 - NGSL	73	71.695	"1,477.50"	0.9757	"418,553"	73	0.0015	0.54					
only	1 - NGSL	74	71.687	"1,474.55"	0.9901	"412,376"	74	0.0015	0.55					
look	1 - NGSL	75	71.368	"1,370.37"	0.9298	"404,865"	76	0.0015	0.55					
want	1 - NGSL	76	71.315	"1,353.57"	0.9149	"405,677"	75	0.0015	0.55					
give	1 - NGSL	77	71.245	"1,331.84"	0.9948	"370,936"	79	0.0014	0.55					
first	1 - NGSL	78	71.209	"1,321.14"	0.9949	"367,902"	80	0.0013	0.55					
new	1 - NGSL	79	71.105	"1,289.59"	0.9517	"373,346"	78	0.0014	0.55					
way	1 - NGSL	80	71.067	"1,278.59"	0.9838	"359,607"	81	0.0013	0.56					
find	1 - NGSL	81	70.919	"1,235.70"	0.9883	"346,127"	83	0.0013	0.56					
over	1 - NGSL	82	70.917	"1,235.22"	0.9882	"346,046"	85	0.0013	0.56					
any	1 - NGSL	83	70.876	"1,223.54"	0.9775	"346,098"	84	0.0013	0.56					
after	1 - NGSL	84	70.829	"1,210.26"	0.9904	"338,372"	87	0.0012	0.56					
day	1 - NGSL	85	70.746	"1,187.38"	0.9808	"334,846"	88	0.0012	0.56					
where	1 - NGSL	86	70.745	"1,187.22"	0.9885	"332,499"	89	0.0012	0.57					
thing	1 - NGSL	87	70.648	"1,160.91"	0.8927	"355,597"	82	0.0013	0.56					
most	1 - NGSL	88	70.591	"1,145.76"	0.9732	"325,301"	90	0.0012	0.57					
should	1 - NGSL	89	70.538	"1,131.84"	0.9752	"320,777"	91	0.0012	0.57					
need	1 - NGSL	90	70.527	"1,128.99"	0.9762	"319,677"	92	0.0012	0.57					
much	1 - NGSL	91	70.511	"1,124.91"	0.9757	"318,689"	93	0.0012	0.57					
right	1 - NGSL	92	70.467	"1,113.45"	0.8993	"339,057"	86	0.0012	0.56					
how	1 - NGSL	93	70.385	"1,092.72"	0.9727	"310,406"	94	0.0011	0.57					
back	1 - NGSL	94	70.216	"1,051.00"	0.9359	"308,788"	95	0.0011	0.57					
mean	1 - NGSL	95	70.091	"1,021.18"	0.9154	"306,060"	96	0.0011	0.57					
even	1 - NGSL	96	69.949	988.31	0.9852	"277,596"	101	0.0010	0.58					
may	1 - NGSL	97	69.818	958.91	0.9177	"286,719"	97	0.0010	0.57					
here	1 - NGSL	98	69.766	947.49	0.9208	"282,468"	99	0.0010	0.58					
many	1 - NGSL	99	69.754	944.97	0.9769	"267,411"	103	0.0010	0.58					
such	1 - NGSL	100	69.713	936.05	0.9022	"283,908"	98	0.0010	0.58					
last	1 - NGSL	101	69.625	917.26	0.9739	"260,265"	106	0.0010	0.58					
child	1 - NGSL	102	69.589	909.66	0.9356	"267,207"	104	0.0010	0.58					
tell	1 - NGSL	103	69.546	900.65	0.9344	"264,923"	105	0.0010	0.58					
really	1 - NGSL	104	69.396	870.25	0.8425	"280,414"	100	0.0010	0.58					
call	1 - NGSL	105	69.389	868.76	0.9722	"246,897"	108	0.0009	0.59					
before	1 - NGSL	106	69.287	848.58	0.9886	"237,640"	110	0.0009	0.59					
company	1 - NGSL	107	69.251	841.64	0.8394	"271,743"	102	0.0010	0.58					
through	1 - NGSL	108	69.232	837.90	0.9844	"235,536"	112	0.0009	0.59					
down	1 - NGSL	109	69.208	833.32	0.9339	"245,280"	109	0.0009	0.59					
show	1 - NGSL	110	69.177	827.45	0.9708	"235,415"	113	0.0009	0.59					
life	1 - NGSL	111	69.094	811.63	0.9564	"233,933"	114	0.0009	0.59					
man	1 - NGSL	112	69.071	807.37	0.9416	"235,874"	111	0.0009	0.59					
change	1 - NGSL	113	69.025	798.90	0.9820	"225,056"	119	0.0008	0.59					
place	1 - NGSL	114	69.002	794.75	0.9749	"225,278"	118	0.0008	0.59					
long	1 - NGSL	115	68.980	790.69	0.9862	"221,885"	120	0.0008	0.60					
between	1 - NGSL	116	68.943	783.98	0.9358	"230,307"	115	0.0008	0.59					
feel	1 - NGSL	117	68.920	779.75	0.9447	"227,171"	117	0.0008	0.59					
too	1 - NGSL	118	68.825	762.88	0.9586	"219,443"	121	0.0008	0.60					
still	1 - NGSL	119	68.763	752.15	0.9767	"212,876"	123	0.0008	0.60					
problem	1 - NGSL	120	68.649	732.61	0.9530	"211,861"	125	0.0008	0.60					
write	1 - NGSL	121	68.648	732.46	0.9520	"211,969"	124	0.0008	0.60					
same	1 - NGSL	122	68.579	720.91	0.9966	"200,468"	130	0.0007	0.60					
lot	1 - NGSL	123	68.541	714.61	0.8464	"229,228"	116	0.0008	0.59					
great	1 - NGSL	124	68.512	709.95	0.9845	"199,546"	131	0.0007	0.60					
try	1 - NGSL	125	68.446	699.19	0.9490	"202,967"	127	0.0007	0.60					
leave	1 - NGSL	126	68.444	698.82	0.9726	"198,488"	133	0.0007	0.61					
number	1 - NGSL	127	68.438	697.99	0.9694	"198,872"	132	0.0007	0.60					
both	1 - NGSL	128	68.422	695.39	0.9750	"197,118"	135	0.0007	0.61					
own	1 - NGSL	129	68.405	692.60	0.9875	"194,146"	138	0.0007	0.61					
part	1 - NGSL	130	68.399	691.65	0.9881	"193,793"	140	0.0007	0.61					
point	1 - NGSL	131	68.348	683.56	0.9916	"190,914"	143	0.0007	0.61					
little	1 - NGSL	132	68.331	680.94	0.9495	"197,548"	134	0.0007	0.61					
help	1 - NGSL	133	68.325	679.94	0.9655	"194,388"	137	0.0007	0.61					
ask	1 - NGSL	134	68.290	674.57	0.9600	"193,804"	139	0.0007	0.61					
meet	1 - NGSL	135	68.265	670.59	0.9360	"196,968"	136	0.0007	0.61					
start	1 - NGSL	136	68.256	669.33	0.9698	"190,629"	144	0.0007	0.61					
talk	1 - NGSL	137	68.231	665.43	0.8751	"207,496"	126	0.0008	0.60					
something	1 - NGSL	138	68.230	665.28	0.9039	"201,537"	128	0.0007	0.60					
put	1 - NGSL	139	68.160	654.61	0.9430	"191,090"	142	0.0007	0.61					
another	1 - NGSL	140	68.159	654.54	0.9948	"182,289"	151	0.0007	0.62					
become	1 - NGSL	141	68.154	653.77	0.9614	"187,598"	147	0.0007	0.62					
interest	1 - NGSL	142	68.149	652.92	0.9701	"185,911"	148	0.0007	0.62					
country	1 - NGSL	143	68.147	652.62	0.9394	"191,155"	141	0.0007	0.61					
old	1 - NGSL	144	68.112	647.48	0.9638	"185,362"	149	0.0007	0.62					
