Lemma	Wordlist	Rank	SFI	U	D	F	Rank	Coverage	Cumulative					
status	1 - NGSL	1125	58.988	79.21	0.8820	"24,492"	"1,132"	0.0001	0.83					
crime	1 - NGSL	1126	58.976	78.99	0.9365	"23,210"	"1,178"	0.0001	0.84					
decline	1 - NGSL	1127	58.973	78.95	0.9054	"23,880"	"1,158"	0.0001	0.84					
decade	1 - NGSL	1128	58.969	78.86	0.8934	"24,120"	"1,148"	0.0001	0.84					
launch	1 - NGSL	1129	58.969	78.86	0.9289	"23,323"	"1,175"	0.0001	0.84					
warn	1 - NGSL	1130	58.961	78.73	0.9395	"23,056"	"1,188"	0.0001	0.84					
consumer	1 - NGSL	1131	58.961	78.71	0.8683	"24,710"	"1,123"	0.0001	0.83					
favor	1 - NGSL	1132	58.960	78.70	0.9750	"22,308"	"1,227"	0.0001	0.84					
dry	1 - NGSL	1133	58.949	78.50	0.9593	"22,565"	"1,208"	0.0001	0.84					
partner	1 - NGSL	1134	58.946	78.46	0.9459	"22,839"	"1,194"	0.0001	0.84					
institution	1 - NGSL	1135	58.946	78.46	0.8628	"24,769"	"1,121"	0.0001	0.83					
spot	1 - NGSL	1136	58.939	78.32	0.9490	"22,730"	"1,201"	0.0001	0.84					
horse	1 - NGSL	1137	58.939	78.32	0.9267	"23,196"	"1,179"	0.0001	0.84					
eventually	1 - NGSL	1138	58.933	78.22	0.9702	"22,266"	"1,229"	0.0001	0.84					
heat	1 - NGSL	1139	58.926	78.10	0.9697	"22,242"	"1,230"	0.0001	0.84					
excite	1 - NGSL	1140	58.921	78.00	0.9460	"22,697"	"1,203"	0.0001	0.84					
reader	1 - NGSL	1141	58.917	77.92	0.8751	"24,241"	"1,146"	0.0001	0.84					
importance	1 - NGSL	1142	58.906	77.73	0.9028	"23,554"	"1,173"	0.0001	0.84					
distance	1 - NGSL	1143	58.903	77.67	0.9539	"22,435"	"1,219"	0.0001	0.84					
guide	1 - NGSL	1144	58.900	77.63	0.9416	"22,679"	"1,205"	0.0001	0.84					
grant	1 - NGSL	1145	58.900	77.63	0.8911	"23,820"	"1,159"	0.0001	0.84					
taxi	1 - NGSL	1146	58.893	77.50	0.9346	"22,807"	"1,198"	0.0001	0.84					
feed	1 - NGSL	1147	58.889	77.43	0.9801	"21,848"	"1,247"	0.0001	0.84					
pain	1 - NGSL	1148	58.887	77.39	0.9314	"22,826"	"1,196"	0.0001	0.84					
sector	1 - NGSL	1149	58.868	77.06	0.8043	"25,870"	"1,082"	0.0001	0.83					
mistake	1 - NGSL	1150	58.867	77.04	0.9558	"22,220"	"1,231"	0.0001	0.84					
ensure	1 - NGSL	1151	58.864	76.98	0.8240	"25,286"	"1,100"	0.0001	0.83					
satisfy	1 - NGSL	1152	58.854	76.80	0.9237	"22,814"	"1,197"	0.0001	0.84					
chief	1 - NGSL	1153	58.854	76.80	0.9101	"23,126"	"1,183"	0.0001	0.84					
cool	1 - NGSL	1154	58.847	76.69	0.9399	"22,444"	"1,218"	0.0001	0.84					
expert	1 - NGSL	1155	58.842	76.59	0.9448	"22,319"	"1,226"	0.0001	0.84					
wave	1 - NGSL	1156	58.839	76.55	0.9008	"23,231"	"1,176"	0.0001	0.84					
south	1 - NGSL	1157	58.837	76.52	0.8825	"23,674"	"1,164"	0.0001	0.84					
labor	1 - NGSL	1158	58.833	76.43	0.9128	"22,950"	"1,191"	0.0001	0.84					
surface	1 - NGSL	1159	58.830	76.38	0.8448	"24,488"	"1,134"	0.0001	0.83					
library	1 - NGSL	1160	58.815	76.13	0.9071	"22,967"	"1,190"	0.0001	0.84					
excellent	1 - NGSL	1161	58.814	76.10	0.9357	"22,354"	"1,225"	0.0001	0.84					
edge	1 - NGSL	1162	58.813	76.08	0.9086	"22,919"	"1,193"	0.0001	0.84					
camp	1 - NGSL	1163	58.807	75.97	0.9601	"21,825"	"1,248"	0.0001	0.84					
audience	1 - NGSL	1164	58.802	75.89	0.9512	"21,985"	"1,242"	0.0001	0.84					
lift	1 - NGSL	1165	58.799	75.85	0.9319	"22,359"	"1,223"	0.0001	0.84					
procedure	1 - NGSL	1166	58.789	75.67	0.8238	"24,846"	"1,116"	0.0001	0.83					
email	1 - NGSL	1167	58.787	75.62	0.8111	"25,119"	"1,108"	0.0001	0.83					
global	1 - NGSL	1168	58.786	75.61	0.8931	"23,151"	"1,182"	0.0001	0.84					
struggle	1 - NGSL	1169	58.785	75.60	0.9483	"21,955"	"1,244"	0.0001	0.84					
advertise	1 - NGSL	1170	58.766	75.27	0.8872	"23,156"	"1,180"	0.0001	0.84					
select	1 - NGSL	1171	58.759	75.15	0.8641	"23,661"	"1,166"	0.0001	0.84					
surround	1 - NGSL	1172	58.754	75.07	0.9480	"21,801"	"1,249"	0.0001	0.84					
extent	1 - NGSL	1173	58.740	74.82	0.8891	"23,005"	"1,189"	0.0001	0.84					
river	1 - NGSL	1174	58.733	74.70	0.9158	"22,355"	"1,224"	0.0001	0.84					
annual	1 - NGSL	1175	58.731	74.67	0.7837	"25,640"	"1,091"	0.0001	0.83					
fully	1 - NGSL	1176	58.725	74.56	0.9456	"21,712"	"1,251"	0.0001	0.84					
contrast	1 - NGSL	1177	58.722	74.51	0.8069	"24,833"	"1,117"	0.0001	0.83					
roll	1 - NGSL	1178	58.706	74.23	0.9331	"21,863"	"1,245"	0.0001	0.84					
reality	1 - NGSL	1179	58.706	74.23	0.9626	"21,279"	"1,268"	0.0001	0.85					
photograph	1 - NGSL	1180	58.700	74.12	0.8977	"22,561"	"1,211"	0.0001	0.84					
artist	1 - NGSL	1181	58.693	74.02	0.9198	"22,070"	"1,238"	0.0001	0.84					
conflict	1 - NGSL	1182	58.693	74.01	0.9063	"22,361"	"1,222"	0.0001	0.84					
entire	1 - NGSL	1183	58.691	73.98	0.9588	"21,281"	"1,267"	0.0001	0.85					
presence	1 - NGSL	1184	58.691	73.98	0.8666	"23,212"	"1,177"	0.0001	0.84					
crowd	1 - NGSL	1185	58.689	73.94	0.9399	"21,636"	"1,253"	0.0001	0.84					
corner	1 - NGSL	1186	58.688	73.93	0.9200	"22,036"	"1,241"	0.0001	0.84					
gas	1 - NGSL	1187	58.688	73.92	0.9633	"21,181"	"1,280"	0.0001	0.85					
shift	1 - NGSL	1188	58.683	73.85	0.9480	"21,450"	"1,264"	0.0001	0.85					
net	1 - NGSL	1189	58.683	73.84	0.6157	"31,304"	934	0.0001	0.81					
category	1 - NGSL	1190	58.683	73.84	0.8469	"23,646"	"1,167"	0.0001	0.84					
secretary	1 - NGSL	1191	58.682	73.83	0.8944	"22,565"	"1,208"	0.0001	0.84					
defense	1 - NGSL	1192	58.676	73.72	0.8998	"22,430"	"1,220"	0.0001	0.84					
quick	1 - NGSL	1193	58.673	73.66	0.9650	"21,070"	"1,282"	0.0001	0.85					
cook	1 - NGSL	1194	58.666	73.55	0.9378	"21,562"	"1,257"	0.0001	0.85					
spread	1 - NGSL	1195	58.663	73.49	0.9659	"21,004"	"1,284"	0.0001	0.85					
nuclear	1 - NGSL	1196	58.659	73.43	0.8673	"23,062"	"1,187"	0.0001	0.84					
scale	1 - NGSL	1197	58.657	73.41	0.8644	"23,098"	"1,185"	0.0001	0.84					
driver	1 - NGSL	1198	58.655	73.37	0.9643	"20,999"	"1,285"	0.0001	0.85					
ball	1 - NGSL	1199	58.649	73.26	0.9430	"21,380"	"1,265"	0.0001	0.85					
cry	1 - NGSL	1200	58.636	73.05	0.8029	"24,430"	"1,137"	0.0001	0.84					
introduction	1 - NGSL	1201	58.634	73.02	0.8041	"24,415"	"1,139"	0.0001	0.84					
requirement	1 - NGSL	1202	58.626	72.88	0.7229	"26,845"	"1,052"	0.0001	0.83					
north	1 - NGSL	1203	58.621	72.79	0.8884	"22,378"	"1,221"	0.0001	0.84					
confirm	1 - NGSL	1204	58.620	72.78	0.9433	"21,232"	"1,274"	0.0001	0.85					
senior	1 - NGSL	1205	58.601	72.46	0.9192	"21,633"	"1,254"	0.0001	0.85					
photo	1 - NGSL	1206	58.593	72.33	0.6257	"29,707"	980	0.0001	0.82					
refuse	1 - NGSL	1207	58.591	72.29	0.9594	"20,781"	"1,299"	0.0001	0.85					
transport	1 - NGSL	1208	58.578	72.08	0.7642	"25,160"	"1,106"	0.0001	0.83					
emerge	1 - NGSL	1209	58.577	72.06	0.8897	"22,119"	"1,235"	0.0001	0.84					
map	1 - NGSL	1210	58.577	72.06	0.9191	"21,499"	"1,260"	0.0001	0.85					
concept	1 - NGSL	1211	58.575	72.03	0.8632	"22,691"	"1,204"	0.0001	0.84					
island	1 - NGSL	1212	58.571	71.96	0.9004	"21,851"	"1,246"	0.0001	0.84					
reform	1 - NGSL	1213	58.568	71.91	0.8910	"22,068"	"1,239"	0.0001	0.84					
neither	1 - NGSL	1214	58.566	71.87	0.9511	"20,815"	"1,296"	0.0001	0.85					
football	1 - NGSL	1215	58.559	71.76	0.8857	"22,107"	"1,236"	0.0001	0.84					
survive	1 - NGSL	1216	58.558	71.74	0.9642	"20,535"	"1,315"	0.0001	0.85					
flight	1 - NGSL	1217	58.552	71.64	0.9703	"20,395"	"1,325"	0.0001	0.85					
left	1 - NGSL	1218	58.550	71.61	0.9556	"20,654"	"1,306"	0.0001	0.85					
solve	1 - NGSL	1219	58.545	71.52	0.9224	"21,275"	"1,270"	0.0001	0.85					
neighbor	1 - NGSL	1220	58.544	71.52	0.9850	"20,090"	"1,338"	0.0001	0.85					
background	1 - NGSL	1221	58.540	71.45	0.9808	"20,148"	"1,336"	0.0001	0.85					
technique	1 - NGSL	1222	58.539	71.43	0.8620	"22,525"	"1,213"	0.0001	0.84					
traffic	1 - NGSL	1223	58.537	71.41	0.9513	"20,680"	"1,304"	0.0001	0.85					
improvement	1 - NGSL	1224	58.528	71.25	0.8760	"22,161"	"1,233"	0.0001	0.84					
tool	1 - NGSL	1225	58.523	71.17	0.9203	"21,215"	"1,278"	0.0001	0.85					
consequence	1 - NGSL	1226	58.523	71.17	0.9429	"20,774"	"1,300"	0.0001	0.85					
circumstance	1 - NGSL	1227	58.523	71.17	0.9199	"21,234"	"1,273"	0.0001	0.85					
smoke	1 - NGSL	1228	58.521	71.14	0.9595	"20,451"	"1,320"	0.0001	0.85					
reaction	1 - NGSL	1229	58.520	71.11	0.9362	"20,885"	"1,294"	0.0001	0.85					
rain	1 - NGSL	1230	58.516	71.06	0.8610	"22,461"	"1,216"	0.0001	0.84					
busy	1 - NGSL	1231	58.514	71.03	0.9171	"21,227"	"1,276"	0.0001	0.85					
lesson	1 - NGSL	1232	58.507	70.92	0.9130	"21,278"	"1,269"	0.0001	0.85					
brain	1 - NGSL	1233	58.499	70.78	0.9304	"20,896"	"1,292"	0.0001	0.85					
mass	1 - NGSL	1234	58.495	70.72	0.9419	"20,660"	"1,305"	0.0001	0.85					
funny	1 - NGSL	1235	58.490	70.63	0.8618	"22,290"	"1,228"	0.0001	0.84					
contribute	1 - NGSL	1236	58.487	70.58	0.9115	"21,216"	"1,277"	0.0001	0.85					
failure	1 - NGSL	1237	58.486	70.56	0.9097	"21,249"	"1,272"	0.0001	0.85					
schedule	1 - NGSL	1238	58.484	70.53	0.9490	"20,480"	"1,317"	0.0001	0.85					
speaker	1 - NGSL	1239	58.478	70.44	0.8439	"22,667"	"1,207"	0.0001	0.84					
bottom	1 - NGSL	1240	58.473	70.36	0.9530	"20,347"	"1,329"	0.0001	0.85					
adopt	1 - NGSL	1241	58.470	70.31	0.8680	"22,065"	"1,240"	0.0001	0.84					
combine	1 - NGSL	1242	58.470	70.30	0.8907	"21,562"	"1,257"	0.0001	0.85					
mountain	1 - NGSL	1243	58.461	70.17	0.9389	"20,551"	"1,313"	0.0001	0.85					
waste	1 - NGSL	1244	58.459	70.13	0.9878	"19,652"	"1,370"	0.0001	0.85					
hide	1 - NGSL	1245	58.455	70.06	0.9242	"20,798"	"1,298"	0.0001	0.85					
marriage	1 - NGSL	1246	58.453	70.03	0.9409	"20,475"	"1,318"	0.0001	0.85					
ticket	1 - NGSL	1247	58.453	70.03	0.9434	"20,434"	"1,322"	0.0001	0.85					
meal	1 - NGSL	1248	58.449	69.96	0.8885	"21,482"	"1,261"	0.0001	0.85					
colleague	1 - NGSL	1249	58.447	69.94	0.9815	"19,711"	"1,361"	0.0001	0.85					
bag	1 - NGSL	1250	58.445	69.91	0.9251	"20,739"	"1,302"	0.0001	0.85					
repeat	1 - NGSL	1251	58.441	69.84	0.9335	"20,556"	"1,312"	0.0001	0.85					
equal	1 - NGSL	1252	58.433	69.71	0.9409	"20,390"	"1,327"	0.0001	0.85					
expression	1 - NGSL	1253	58.426	69.59	0.7737	"24,017"	"1,153"	0.0001	0.84					
plus	1 - NGSL	1254	58.425	69.59	0.9452	"20,273"	"1,331"	0.0001	0.85					
extremely	1 - NGSL	1255	58.425	69.59	0.9832	"19,580"	"1,373"	0.0001	0.85					
owner	1 - NGSL	1256	58.422	69.53	0.9248	"20,649"	"1,307"	0.0001	0.85					
plane	1 - NGSL	1257	58.415	69.43	0.9567	"20,008"	"1,341"	0.0001	0.85					
commercial	1 - NGSL	1258	58.412	69.37	0.9068	"20,960"	"1,288"	0.0001	0.85					
lady	1 - NGSL	1259	58.386	68.95	0.8909	"21,136"	"1,281"	0.0001	0.85					
duty	1 - NGSL	1260	58.380	68.86	0.9183	"20,573"	"1,311"	0.0001	0.85					
strength	1 - NGSL	1261	58.369	68.69	0.9733	"19,499"	"1,378"	0.0001	0.85					
connect	1 - NGSL	1262	58.363	68.60	0.9750	"19,445"	"1,381"	0.0001	0.85					
cultural	1 - NGSL	1263	58.363	68.60	0.8661	"21,537"	"1,259"	0.0001	0.85					
arrange	1 - NGSL	1264	58.354	68.46	0.8595	"21,625"	"1,255"	0.0001	0.85					
scheme	1 - NGSL	1265	58.348	68.36	0.8192	"22,558"	"1,212"	0.0001	0.84					
payment	1 - NGSL	1266	58.342	68.26	0.7114	"25,527"	"1,095"	0.0001	0.83					
unfortunately	1 - NGSL	1267	58.339	68.22	0.9095	"20,537"	"1,314"	0.0001	0.85					
brief	1 - NGSL	1268	58.338	68.21	0.9704	"19,415"	"1,383"	0.0001	0.85					
bird	1 - NGSL	1269	58.328	68.05	0.9451	"19,815"	"1,351"	0.0001	0.85					
demonstrate	1 - NGSL	1270	58.326	68.02	0.8335	"22,071"	"1,237"	0.0001	0.84					
contribution	1 - NGSL	1271	58.326	68.01	0.8626	"21,454"	"1,263"	0.0001	0.85					
appreciate	1 - NGSL	1272	58.323	67.97	0.9323	"20,035"	"1,340"	0.0001	0.85					
chapter	1 - NGSL	1273	58.323	67.97	0.8298	"22,142"	"1,234"	0.0001	0.84					
secret	1 - NGSL	1274	58.321	67.94	0.9358	"19,955"	"1,344"	0.0001	0.85					
apparently	1 - NGSL	1275	58.320	67.92	0.9599	"19,517"	"1,376"	0.0001	0.85					
novel	1 - NGSL	1276	58.319	67.91	0.9187	"20,266"	"1,332"	0.0001	0.85					
union	1 - NGSL	1277	58.315	67.84	0.9260	"20,128"	"1,337"	0.0001	0.85					
burn	1 - NGSL	1278	58.310	67.76	0.9493	"19,659"	"1,367"	0.0001	0.85					
trend	1 - NGSL	1279	58.309	67.74	0.8932	"20,722"	"1,303"	0.0001	0.85					
initial	1 - NGSL	1280	58.307	67.72	0.8054	"22,670"	"1,206"	0.0001	0.84					
pleasure	1 - NGSL	1281	58.302	67.63	0.9171	"20,214"	"1,334"	0.0001	0.85					
suggestion	1 - NGSL	1282	58.300	67.60	0.8103	"22,449"	"1,217"	0.0001	0.84					
critical	1 - NGSL	1283	58.292	67.48	0.9043	"20,428"	"1,323"	0.0001	0.85					
gather	1 - NGSL	1284	58.288	67.42	0.9680	"19,230"	"1,398"	0.0001	0.86					
mostly	1 - NGSL	1285	58.287	67.40	0.9782	"19,052"	"1,407"	0.0001	0.86					
earth	1 - NGSL	1286	58.286	67.39	0.9470	"19,591"	"1,372"	0.0001	0.85					
pop	1 - NGSL	1287	58.277	67.25	0.8761	"20,906"	"1,290"	0.0001	0.85					
essential	1 - NGSL	1288	58.274	67.21	0.8991	"20,440"	"1,321"	0.0001	0.85					
desire	1 - NGSL	1289	58.271	67.17	0.9458	"19,544"	"1,374"	0.0001	0.85					
promote	1 - NGSL	1290	58.271	67.16	0.9138	"20,150"	"1,335"	0.0001	0.85					
currently	1 - NGSL	1291	58.267	67.09	0.8696	"21,029"	"1,283"	0.0001	0.85					
employ	1 - NGSL	1292	58.257	66.95	0.8940	"20,457"	"1,319"	0.0001	0.85					
path	1 - NGSL	1293	58.257	66.94	0.9275	"19,812"	"1,352"	0.0001	0.85					
topic	1 - NGSL	1294	58.256	66.93	0.9181	"19,987"	"1,342"	0.0001	0.85					
beach	1 - NGSL	1295	58.255	66.91	0.8670	"20,985"	"1,287"	0.0001	0.85					
attract	1 - NGSL	1296	58.254	66.90	0.9247	"19,856"	"1,350"	0.0001	0.85					
engage	1 - NGSL	1297	58.254	66.90	0.9561	"19,295"	"1,393"	0.0001	0.86					
powerful	1 - NGSL	1298	58.242	66.71	0.9321	"19,669"	"1,365"	0.0001	0.85					
flower	1 - NGSL	1299	58.241	66.70	0.9281	"19,726"	"1,360"	0.0001	0.85					
crisis	1 - NGSL	1300	58.237	66.63	0.8734	"20,815"	"1,296"	0.0001	0.85					
settle	1 - NGSL	1301	58.234	66.59	0.9289	"19,685"	"1,364"	0.0001	0.85					
boat	1 - NGSL	1302	58.228	66.50	0.9513	"19,255"	"1,396"	0.0001	0.86					
aid	1 - NGSL	1303	58.227	66.48	0.9314	"19,621"	"1,371"	0.0001	0.85					
fan	1 - NGSL	1304	58.226	66.47	0.8902	"20,401"	"1,324"	0.0001	0.85					
kitchen	1 - NGSL	1305	58.225	66.45	0.8463	"21,264"	"1,271"	0.0001	0.85					
twice	1 - NGSL	1306	58.224	66.44	0.9920	"18,550"	"1,449"	0.0001	0.86					
fresh	1 - NGSL	1307	58.223	66.43	0.9699	"18,912"	"1,417"	0.0001	0.86					
delay	1 - NGSL	1308	58.223	66.43	0.9376	"19,487"	"1,379"	0.0001	0.85					
safety	1 - NGSL	1309	58.217	66.32	0.9730	"18,837"	"1,423"	0.0001	0.86					
engineer	1 - NGSL	1310	58.216	66.31	0.9265	"19,658"	"1,368"	0.0001	0.85					
quiet	1 - NGSL	1311	58.212	66.26	0.9243	"19,667"	"1,366"	0.0001	0.85					
insurance	1 - NGSL	1312	58.211	66.23	0.9238	"19,698"	"1,362"	0.0001	0.85					
nurse	1 - NGSL	1313	58.207	66.17	0.9366	"19,424"	"1,382"	0.0001	0.85					
divide	1 - NGSL	1314	58.205	66.14	0.9506	"19,169"	"1,401"	0.0001	0.86					
length	1 - NGSL	1315	58.201	66.09	0.8717	"20,635"	"1,308"	0.0001	0.85					
investigation	1 - NGSL	1316	58.192	65.94	0.9102	"19,862"	"1,349"	0.0001	0.85					
package	1 - NGSL	1317	58.191	65.93	0.9058	"19,940"	"1,346"	0.0001	0.85					
somewhere	1 - NGSL	1318	58.187	65.87	0.8858	"20,298"	"1,330"	0.0001	0.85					
expand	1 - NGSL	1319	58.182	65.79	0.9468	"19,136"	"1,402"	0.0001	0.86					
commit	1 - NGSL	1320	58.176	65.71	0.9533	"19,004"	"1,412"	0.0001	0.86					
obvious	1 - NGSL	1321	58.175	65.70	0.9679	"18,739"	"1,431"	0.0001	0.86					
jump	1 - NGSL	1322	58.160	65.46	0.9529	"18,931"	"1,415"	0.0001	0.86					
weapon	1 - NGSL	1323	58.157	65.43	0.8262	"21,460"	"1,262"	0.0001	0.85					
relatively	1 - NGSL	1324	58.154	65.38	0.8734	"20,391"	"1,326"	0.0001	0.85					
host	1 - NGSL	1325	58.152	65.34	0.9448	"19,036"	"1,408"	0.0001	0.86					
winter	1 - NGSL	1326	58.148	65.28	0.9582	"18,787"	"1,426"	0.0001	0.86					
district	1 - NGSL	1327	58.147	65.27	0.9311	"19,268"	"1,394"	0.0001	0.86					
broad	1 - NGSL	1328	58.137	65.12	0.9428	"19,010"	"1,410"	0.0001	0.86					
tire	1 - NGSL	1329	58.118	64.84	0.9081	"19,541"	"1,375"	0.0001	0.85					
spring	1 - NGSL	1330	58.111	64.73	0.9369	"18,992"	"1,413"	0.0001	0.86					
spirit	1 - NGSL	1331	58.095	64.48	0.9524	"18,654"	"1,440"	0.0001	0.86					
lunch	1 - NGSL	1332	58.088	64.38	0.9093	"19,383"	"1,387"	0.0001	0.85					
actual	1 - NGSL	1333	58.083	64.31	0.9548	"18,569"	"1,447"	0.0001	0.86					
pool	1 - NGSL	1334	58.083	64.31	0.9710	"18,294"	"1,456"	0.0001	0.86					
battle	1 - NGSL	1335	58.082	64.29	0.9120	"19,324"	"1,390"	0.0001	0.86					
tradition	1 - NGSL	1336	58.077	64.22	0.9236	"19,080"	"1,405"	0.0001	0.86					
cash	1 - NGSL	1337	58.073	64.16	0.8161	"21,284"	"1,266"	0.0001	0.85					
hardly	1 - NGSL	1338	58.064	64.03	0.9030	"19,386"	"1,386"	0.0001	0.85					
award	1 - NGSL	1339	58.064	64.03	0.6944	"24,489"	"1,133"	0.0001	0.83					
coach	1 - NGSL	1340	58.063	64.02	0.8600	"20,233"	"1,333"	0.0001	0.85					
experiment	1 - NGSL	1341	58.060	63.97	0.7443	"22,827"	"1,195"	0.0001	0.84					
consideration	1 - NGSL	1342	58.057	63.93	0.8864	"19,693"	"1,363"	0.0001	0.85					
strange	1 - NGSL	1343	58.057	63.93	0.9029	"19,360"	"1,388"	0.0001	0.86					
code	1 - NGSL	1344	58.056	63.91	0.8710	"19,977"	"1,343"	0.0001	0.85					
possibly	1 - NGSL	1345	58.043	63.72	0.9834	"17,928"	"1,479"	0.0001	0.86					
threat	1 - NGSL	1346	58.043	63.72	0.9281	"18,864"	"1,421"	0.0001	0.86					
accident	1 - NGSL	1347	58.040	63.68	0.9727	"18,088"	"1,470"	0.0001	0.86					
impossible	1 - NGSL	1348	58.037	63.63	0.9668	"18,166"	"1,465"	0.0001	0.86					
revenue	1 - NGSL	1349	58.036	63.61	0.8384	"20,576"	"1,310"	0.0001	0.85					
enable	1 - NGSL	1350	58.035	63.61	0.8684	"19,945"	"1,345"	0.0001	0.85					
afraid	1 - NGSL	1351	58.028	63.50	0.8729	"19,801"	"1,354"	0.0001	0.85					
active	1 - NGSL	1352	58.026	63.47	0.9276	"18,791"	"1,425"	0.0001	0.86					
conclude	1 - NGSL	1353	58.016	63.33	0.9183	"18,907"	"1,418"	0.0001	0.86					
religious	1 - NGSL	1354	58.014	63.30	0.8939	"19,352"	"1,389"	0.0001	0.86					
cancer	1 - NGSL	1355	58.014	63.30	0.8190	"20,888"	"1,293"	0.0001	0.85					
convince	1 - NGSL	1356	58.013	63.29	0.9779	"17,892"	"1,482"	0.0001	0.86					
vary	1 - NGSL	1357	58.011	63.26	0.8305	"20,599"	"1,309"	0.0001	0.85					
environmental	1 - NGSL	1358	58.005	63.17	0.8710	"19,760"	"1,356"	0.0001	0.85					
sun	1 - NGSL	1359	57.996	63.03	0.9222	"18,746"	"1,430"	0.0001	0.86					
healthy	1 - NGSL	1360	57.993	63.00	0.9117	"18,927"	"1,416"	0.0001	0.86					
blow	1 - NGSL	1361	57.980	62.81	0.9188	"18,747"	"1,429"	0.0001	0.86					
volume	1 - NGSL	1362	57.970	62.66	0.8138	"20,757"	"1,301"	0.0001	0.85					
location	1 - NGSL	1363	57.970	62.66	0.9257	"18,580"	"1,446"	0.0001	0.86					
invest	1 - NGSL	1364	57.969	62.65	0.6156	"26,616"	"1,057"	0.0001	0.83					
proceed	1 - NGSL	1365	57.967	62.62	0.8115	"20,866"	"1,295"	0.0001	0.85					
wash	1 - NGSL	1366	57.965	62.59	0.9417	"18,284"	"1,458"	0.0001	0.86					
actor	1 - NGSL	1367	57.964	62.57	0.9253	"18,565"	"1,448"	0.0001	0.86					
glad	1 - NGSL	1368	57.961	62.53	0.7997	"20,998"	"1,286"	0.0001	0.85					
tape	1 - NGSL	1369	57.957	62.47	0.9172	"18,691"	"1,436"	0.0001	0.86					
whereas	1 - NGSL	1370	57.956	62.46	0.8818	"19,310"	"1,391"	0.0001	0.86					
opposite	1 - NGSL	1371	57.954	62.43	0.9552	"18,012"	"1,473"	0.0001	0.86					
stone	1 - NGSL	1372	57.954	62.43	0.8850	"19,235"	"1,397"	0.0001	0.86					
sum	1 - NGSL	1373	57.953	62.42	0.8758	"19,413"	"1,384"	0.0001	0.85					
murder	1 - NGSL	1374	57.948	62.34	0.9252	"18,508"	"1,453"	0.0001	0.86					
monitor	1 - NGSL	1375	57.944	62.29	0.9195	"18,588"	"1,445"	0.0001	0.86					
soldier	1 - NGSL	1376	57.943	62.27	0.8742	"19,411"	"1,385"	0.0001	0.85					
finance	1 - NGSL	1377	57.939	62.22	0.9030	"18,874"	"1,420"	0.0001	0.86					
hate	1 - NGSL	1378	57.931	62.10	0.8789	"19,261"	"1,395"	0.0001	0.86					
egg	1 - NGSL	1379	57.926	62.02	0.8214	"20,365"	"1,328"	0.0001	0.85					
concert	1 - NGSL	1380	57.924	62.00	0.6724	"24,017"	"1,153"	0.0001	0.84					
shock	1 - NGSL	1381	57.923	61.99	0.9545	"17,897"	"1,481"	0.0001	0.86					
comfortable	1 - NGSL	1382	57.922	61.98	0.9287	"18,324"	"1,454"	0.0001	0.86					
usual	1 - NGSL	1383	57.917	61.90	0.9411	"18,088"	"1,470"	0.0001	0.86					
carefully	1 - NGSL	1384	57.909	61.79	0.9488	"17,932"	"1,477"	0.0001	0.86					
pack	1 - NGSL	1385	57.908	61.78	0.9667	"17,643"	"1,496"	0.0001	0.86					
recall	1 - NGSL	1386	57.906	61.74	0.9346	"18,156"	"1,466"	0.0001	0.86					
wine	1 - NGSL	1387	57.903	61.70	0.9460	"17,954"	"1,474"	0.0001	0.86					
camera	1 - NGSL	1388	57.897	61.62	0.9469	"17,919"	"1,480"	0.0001	0.86					
swim	1 - NGSL	1389	57.896	61.61	0.8416	"19,810"	"1,353"	0.0001	0.85					
manufacture	1 - NGSL	1390	57.895	61.59	0.8394	"19,908"	"1,347"	0.0001	0.85					
theater	1 - NGSL	1391	57.885	61.45	0.9762	"17,400"	"1,505"	0.0001	0.86					
cycle	1 - NGSL	1392	57.877	61.33	0.8979	"18,671"	"1,437"	0.0001	0.86					
coffee	1 - NGSL	1393	57.874	61.29	0.8931	"18,739"	"1,431"	0.0001	0.86					
totally	1 - NGSL	1394	57.874	61.29	0.9748	"17,377"	"1,507"	0.0001	0.86					
museum	1 - NGSL	1395	57.873	61.27	0.8753	"19,063"	"1,406"	0.0001	0.86					
visitor	1 - NGSL	1396	57.865	61.17	0.8927	"18,715"	"1,434"	0.0001	0.86					
freedom	1 - NGSL	1397	57.862	61.12	0.9719	"17,375"	"1,508"	0.0001	0.86					
construction	1 - NGSL	1398	57.861	61.11	0.8609	"19,297"	"1,392"	0.0001	0.86					
dear	1 - NGSL	1399	57.860	61.09	0.7277	"22,191"	"1,232"	0.0001	0.84					
objective	1 - NGSL	1400	57.843	60.85	0.7708	"21,199"	"1,279"	0.0001	0.85					
moreover	1 - NGSL	1401	57.843	60.85	0.6562	"24,030"	"1,152"	0.0001	0.84					
onto	1 - NGSL	1402	57.836	60.75	0.9430	"17,728"	"1,493"	0.0001	0.86					
historical	1 - NGSL	1403	57.833	60.72	0.8636	"19,113"	"1,404"	0.0001	0.86					
oppose	1 - NGSL	1404	57.830	60.67	0.9331	"17,876"	"1,484"	0.0001	0.86					
branch	1 - NGSL	1405	57.822	60.56	0.9494	"17,569"	"1,499"	0.0001	0.86					
vehicle	1 - NGSL	1406	57.818	60.50	0.9539	"17,488"	"1,501"	0.0001	0.86					
scientist	1 - NGSL	1407	57.817	60.50	0.8881	"18,605"	"1,443"	0.0001	0.86					
